id,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords,poster_path,backdrop_path,recommendations
616037,Thor: Love and Thunder,Action-Adventure-Fantasy,en,After his retirement is interrupted by Gorr the God Butcher a galactic killer who seeks the extinction of the gods Thor enlists the help of King Valkyrie Korg and ex-girlfriend Jane Foster who now inexplicably wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.,18514.843,Marvel Studios-Kevin Feige Productions,2022-07-06,250000000.0,598220698.0,119.0,Released,The one is not the only.,6.709,1423.0,Chris Hemsworth-Christian Bale-Tessa Thompson-Taika Waititi-Natalie Portman-Russell Crowe-Jaimie Alexander-Chris Pratt-Dave Bautista-Karen Gillan-Pom Klementieff-Sean Gunn-Vin Diesel-Bradley Cooper-Carly Rees-Kat Dennings-Stellan Skarsgård-Kieron L. Dyer-India Rose Hemsworth-Luke Hemsworth-Matt Damon-Sam Neill-Melissa McCarthy-Ben Falcone-Idris Elba-Brett Goldstein-Suren Jayemanne-Natasha Cheng-Stephen Curry-Bobby Holland Hanton-Eliza D'Souza-Daley Pearson-Simon Russell Beale-Manny Spero-Jonny Brugh-Andrew Crawford-Brooke Satchwell-Dianne Close-Greg Mitchell-Briegh Winderbaum-Mayzie Winderbaum-Izaac Winderbaum-Alanis Long Borrello-Luka Bale-Chanique Greyling-Elsa Pataky-Zia Kelly-Rosangela Fasano-Cameron Chapek-Tristan Hemsworth-Samson Alston-Alan Spies-Shari Sebbens-Victoria Zerbst-Johnny Nasser-Jenna Owen-Gemma Dart-Victoria Ferrara-Ava Rodrigo-Porter-Elsa Rodrigo-Porter-Kaan Guldur-Indeia Booc-Indiana Ierano-Cayla Sutherland-Tui Vincent-Garth Wood-Yure Covich-Matatia Foa'i-Alan Dukes-Alan Tsibulya-Arka Das-Simona Paparelli-Nico Cortez-Priscilla Doueihy-Nicole Milinkovic-Chayla Korewha-Imaan Hadchiti-Carmen Foon-Kuni Hashimoto-Stephen Hunter-Justin Paul Hitchcock-Nazih Kheir-Tatyana Gillam-Indiana Evans-Samantha Allsop-Olivia Vasquez-Adam Todd-Josh Heuston-David Hambly-Janessa Dufty-Ava Caryofyllis-Chloé Gouneau-Ben Sinclair-Jane Yubin Kim-Dave  Cory-Te Kainga O'Te Hinekahu Waititi-Sasha Hemsworth-Amala Millepied-Molly Moriarty-Luc Barrett-Bo Chambers-Leeton Alan Ingrey-Jessica May Lynne-Kim Thien Doan-Sienna Ngeru-Gabriel Siemer-Arias Vang-Xander Mouradian-Matewa Kiritapu Waititi-Aleph Millepied-Rex Bale-Hannah Gray-Luca Darda-Zali Mae Harrison-Evan Stanhope-Jaimee Rose Lynn-Simone Landers-Rafael Siemer-Ronin Fabi-Corban Ierano-Jacob Yee-Jason Jago-Aiden Mckenzie-Risa Chino-Sean Rohani-Akosia Sabet-Craig Walker,ex-girlfriend-hero-greek mythology-sequel-superhero-based on comic-shadow-norse mythology-aftercreditsstinger-duringcreditsstinger-marvel cinematic universe (mcu)-heroes-norse god-petualangan menangkap petir-colorless-child abduction,/pIkRyD18kl4FhoCNQuWxWu5cBLM.jpg,/p1F51Lvj3sMopG948F5HsBbl43C.jpg,438148-507086-756999-614934-748918-560057-990982-225145-718789-820912-969972-736732-18173-58511-453395-30559-924482-725201-955569-993412-855445
507086,Jurassic World Dominion,Adventure-Action-Science Fiction,en,Four years after Isla Nublar was destroyed dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine once and for all whether human beings are to remain the apex predators on a planet they now share with history’s most fearsome creatures.,7695.951,Universal Pictures-Amblin Entertainment,2022-06-01,165000000.0,921000000.0,147.0,Released,The epic conclusion of the Jurassic era.,7.064,2197.0,Chris Pratt-Bryce Dallas Howard-Laura Dern-Jeff Goldblum-Sam Neill-DeWanda Wise-Mamoudou Athie-Isabella Sermon-Campbell Scott-BD Wong-Omar Sy-Justice Smith-Daniella Pineda-Scott Haze-Dichen Lachman-Caleb Hearon-Kristoffer Polaha-Freya Parker-Alexander Owen-Joel Elferink-Elva Trill-Lillia Langley-Glynis Davies-Dimitri Vegas-Adam Kiani-Enzo Squillino Jr.-Bastian Antonio Fuentes-Bernardo Santos-Ross Donnelly-Manuela Mora-Teresa Cendon-Garcia-Metin Hassan-Cokey Falkow-Jasmine Chiu-Emilie Jumeaux-Eleanor Tata-Lynn Hunter-Cathleen Summers-Patrick Loungway-Michael Bendib-Ahir Shah,giant monster-dinosaur-child kidnapping-jurassic-animal sanctuary-巨型怪物-恐龙-侏罗纪-动物保护区,/kAVRgw7GgK1CfYEJq8ME6EvRIgU.jpg,/9eAn20y26wtB3aet7w9lHjuSgZ3.jpg,800309-871693-718789-756999-822254-31063-616037-883502-338953-826749-644083-635887-974936-438148-361743-291264-819876-453395-560057-675353-631883
438148,Minions: The Rise of Gru,Family-Animation-Adventure-Comedy-Fantasy,en,A fanboy of a supervillain supergroup known as the Vicious 6 Gru hatches a plan to become evil enough to join them with the backup of his followers the Minions.,7110.952,Universal Pictures-Illumination Entertainment,2022-06-29,85000000.0,640000000.0,87.0,Released,A villain will rise.,7.5,527.0,Steve Carell-Pierre Coffin-Russell Brand-Alan Arkin-Taraji P. Henson-Jean-Claude Van Damme-Lucy Lawless-Dolph Lundgren-Danny Trejo-Michelle Yeoh-Julie Andrews-RZA-Will Arnett-Steve Coogan-Jimmy O. Yang-Kevin Michael Richardson-John DiMaggio-Michael Beattie-Colette Whitaker-Raymond S. Persi-Kyle Balda-Bob Bergen-Beau Billingslea-Cathy Cavadini-David Chen-Will Collyer-Meilee Condron-Antonio Raul Corbo-Debi Derryberry-Scarlett Estevez-Kellen Goff-Jake Green-Isa Hall-Ramone Hamilton-Aaron Hendry-Barbara Harris-JP Karliak-Evan Kishiyama-Sam Lavagnino-Dawnn Lewis-Amari McCoy-Levi Nunez-Benjamin Plessala-Alex Puccinelli-David J. Randolph-Carla Rempp-Nev Scharrel-James Sie-Mindy Sterling-Fred Tatasciore-Regina Taufen-Nisa Ward-Debra Wilson-Nora Wyman-Bastian Baker-Valentine Zhou-Asto Montcho-Frédérique Cantrel,duringcreditsstinger-shared universe,/wKiOkZTN9lUUUNZLmtnwubZYONg.jpg,/nmGWzTLMXy9x7mKd8NKPLmHtWGa.jpg,924482-555876-698128-453395-338953-961484-616037-573164-545611-560057-675353-485303-271708-124485-776541-975117-47287-18373-284760-278778-718789
361743,Top Gun: Maverick,Action-Drama,en,After more than thirty years of service as one of the Navy’s top aviators and dodging the advancement in rank that would ground him Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.,6087.102,Paramount-Don Simpson/Jerry Bruckheimer Films-Skydance Media,2022-05-24,170000000.0,1284000000.0,131.0,Released,Feel the need... The need for speed.,8.346,1713.0,Tom Cruise-Miles Teller-Jennifer Connelly-Jon Hamm-Glen Powell-Ed Harris-Val Kilmer-Lewis Pullman-Charles Parnell-Bashir Salahuddin-Monica Barbaro-Jay Ellis-Danny Ramirez-Jack Schumacher-Manny Jacinto-Kara Wang-Greg Tarzan Davis-Jake Picking-Raymond Lee-Jean Louisa Kelly-Lyliana Wray-Chelsea Harris-Darnell Kirkwood-Austin Bowerman-Stephanie Andrea Barron-Alec Williams-Rachel Winfree-Peter Mark Kendall-Ian Gary-Bob Stephenson-Landon Gordon-Margaret Strabala-Ryan Heilmann-Shantel Limbo-James Handy-Whylip Lee-Tristan Henry-Jason Robert Boles-Brian Ferguson-Chido Nwokocha-Chaz Ingram-Rachael Markarian-Shannon Kane-Norman Ralph Eliasen-Anthony Edwards-Meg Ryan-Kelly McGillis,fighter pilot-sequel-military,/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,/odJ4hx6g6vBt4lBWKFD1tI8WS4x.jpg,744-507086-985898-860793-453395-705861-913612-338953-818397-474415-614934-10261-19404-615469-831946-420821-718789-752623-634429-852438-296410
756999,The Black Phone,Horror-Thriller,en,Finney Shaw a shy but clever 13-year-old boy is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.,3906.433,Universal Pictures-Blumhouse Productions-Crooked Highway,2022-06-22,18800000.0,114000000.0,103.0,Released,Never talk to strangers.,7.982,1275.0,Mason Thames-Madeleine McGraw-Ethan Hawke-Jeremy Davies-E. Roger Mitchell-Troy Rudeseal-James Ransone-Miguel Cazarez Mora-Rebecca Clarke-J. Gaven Wilde-Spencer Fitzgerald-Jordan Isaiah White-Brady Ryan-Tristan Pravong-Jacob Moran-Brady Hepner-Michael Banks Repeta-Kristina Arjona-Sheila M. O'Rear-Rocco Poveromo-Kellan Rhude-Gina Jun-Ryan Cronan-Braxton Alexander-Andrew Farmer-T. Maxwell Martin-Ron Blake-Robert Fortunato-Chris TC Edge-Mark Riccardi-Megan Petersen-Bay Allebach-Mike Bailey-Christine Connelly-Matthew Simmons-Parrish Stikeleather,sibling relationship-child abuse-sadistic-1970s-small town-dream-kidnapping-colorado-mask-cellar-supernatural-bullying-basement-serial killer-based on short story-alcoholic father-child kidnapping,/p9ZUzCyy9wRTDuuQexkQ78R2BgF.jpg,/AfvIjhDu9p64jKcmohS4hsPG95Q.jpg,717151-913814-647808-736732-614934-438148-864116-616037-661365-955569-504827-718789-560057-53780-974187-753232-271708-984962-982317-988165-507086
718789,Lightyear,Animation-Science Fiction-Adventure-Action-Family,en,Legendary Space Ranger Buzz Lightyear embarks on an intergalactic adventure alongside a group of ambitious recruits and his robot companion Sox.,3840.849,Walt Disney Pictures-Pixar,2022-06-15,200000000.0,207000000.0,107.0,Released,Infinity awaits.,7.332,1069.0,Chris Evans-Keke Palmer-Peter Sohn-Taika Waititi-Dale Soules-James Brolin-Uzo Aduba-Mary McDonald-Lewis-Isiah Whitlock Jr.-Angus MacLane-Bill Hader-Efren Ramirez-Keira Hairston-Carlos Alazraqui-Kimberly Bailey-William Calvert-June Christopher-David Cowgill-Terri Douglas-Jackie Gonneau-Rif Hutton-Matthew Yang King-Stephanie Komure-Piotr Michael-Cristina Milizia-Arthur Ortiz-Jacqueline Pinol-Griffin Puatu-Shane Sweet-Debra Wilson-Debra Wilson-Matthew Wood-Cory Yee-Ruth Zalduondo,space travel-alien life-form-stranded-alien planet-spin off-aftercreditsstinger-duringcreditsstinger-origin story,/ox4goZd956BxqJH6iLwhWPL9ct4.jpg,/nW5fUbldp1DYf2uQ3zJTUdachOu.jpg,507086-756999-614934-73369-616037-805678-560057-990593-955569-438148-445475-615469-759175-968857-453395-31583-735697-864116-361743-296410-833916
453395,Doctor Strange in the Multiverse of Madness,Fantasy-Action-Adventure,en,Doctor Strange with the help of mystical allies both old and new traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.,3590.164,Marvel Studios-Kevin Feige Productions,2022-05-04,200000001.0,953200000.0,126.0,Released,Enter a new dimension of Strange.,7.513,4883.0,Benedict Cumberbatch-Elizabeth Olsen-Chiwetel Ejiofor-Benedict Wong-Xochitl Gomez-Jett Klyne-Julian Hilliard-Sheila Atim-Adam Hugill-Michael Stuhlbarg-Rachel McAdams-Hayley Atwell-Anson Mount-Lashana Lynch-John Krasinski-Patrick Stewart-Charlize Theron-Bruce Campbell-Ross Marquand-Andy Bale-Ako Mitchell-Momo Yeung-Daniel Swain-Topo Wresniwiro-Eden Nathenson-Vinny Moli-Charlie Norton-Aliyah Camacho-Ruth Livier-Chess Lopez-David Tse-Yasmin Chadwick-Anthony Knight-Nuakai Aru-Victoria Grove-Joshua Peace-Nina Jalava-Joshmaine Joseph-Yenifer Molina-Kevin Dalton-Orphee Sidibe-Gregory Fung-Cecilia Appiah-Victoria Sterling-Jordan Alexandra-Bobbie Little-Gabriella Cooper-Parsons-André Layne-Michael Waldron-Bridget Hoffman-Scott Spiegel-Jessica Pennington-Andrew Morgado-Audrey Wasilewski-Christian Rummel-Richie Palmer,magic-superhero-based on comic-alternate reality-aftercreditsstinger-duringcreditsstinger-marvel cinematic universe (mcu)-multiverse,/9Gtg2DzBhmYamXBS1hKAhiwbBKS.jpg,/wcKFYIiVDvRURrzglV9kGu7fpfY.jpg,438148-993412-434067-338953-910974-382928-234657-924482-335882-675353-526896-752623-615469-555876-507086-361743-639933-698128-335787-616037-667739
956101,The Eighth Clause,Thriller,la,Kat and Borja appear to be a perfect couple but as in every marriage they keep secrets lies and infidelities that will come to light the night an unexpected visitor arrives.,2259.303,SDB Films-El Hombre Orquesta,2022-04-29,0.0,0.0,0.0,Released,,4.6,10.0,Maite Perroni-Manuel Vega-Óscar Jaenada-Jessica Coch-Paulina Dávila-Christian Meier-Michel Duval-Mario Tardón,,/8tc8eMFAX2SDC1TRu987qFQy8Cl.jpg,/kLnqNE9Af5QHyvUxw8cDGhF1ilv.jpg,
919355,Dragon Knight,Fantasy-Adventure-Action,en,Many years after the war has been lost and all the dragons slain a lone knight travels the lands of Agonos seeking to raise an army against the demon lord Abaddon. When a healer's vision reveals that one dragon still lives and together with an eager young squire the knight sets off in search of the fabled creature. As the armies of Abaddon descend on the human kingdoms the dragon is their last hope of fending off the horde before it lays waste to the lands of men. But does the creature even exist? And if it does will it fight for them once more?,2118.367,Hex Studios,2022-03-21,0.0,0.0,99.0,Released,,6.333,6.0,Ryan Livingstone-Megan Tremethick-Regan Walker-Michael Daviot,,/uSMJbYhaEpQtF9vkMhpgljc0CA4.jpg,/lkZjWIuwJQohA1zjIlMaqK2QpWA.jpg,
759175,The Princess,Fantasy-Action,en,A beautiful strong-willed young royal refuses to wed the cruel sociopath to whom she is betrothed and is kidnapped and locked in a remote tower of her father’s castle. With her scorned vindictive suitor intent on taking her father’s throne the princess must protect her family and save the kingdom.,2015.566,Original Film-20th Century Studios,2022-06-16,0.0,0.0,94.0,Released,Bow to no one.,7.119,308.0,Joey King-Dominic Cooper-Olga Kurylenko-Veronica Ngo-Alex Reid-Ed Stoppard-Katelyn Rose Downey-Kristofer Kamiyasu-Fergus O'Donnell-Ivo Arakov-Antoni Davidov-Martin Taskov-Mitko Angelov-Radoslav Parvanov-Liudmil Kehaiov-Ivan Vodenicharov-Mitko Dalakov-Apostol Tenev-Vasil Toshev-Dawn Sherrer-Lyubomir Neikov-Ivan Kostadinov-Allegra Du Toit-Todor Kirilov-Milko Yovchev-Velislav Pavlov-Ioan Karamfilov-Vasil Vitanov-Adam Othman-Rossen Penchev-Todor Todorov-Deyan Angelov-Zahari Grozdanov-Ulyana Chan-Ivan Panev-Max Kraus-Younes Boutinane-Jean-Adrien Espiasse-Stanislav Satko-Vladimir Furdik-Boyan Anev-Hristo Dimitrov-Hindo-Billy Edwards,princess,/9pCoqX24a6rE981fY1O3PmhiwrB.jpg,/5PnypKiSj2efSPqThNjTXz8jwOg.jpg,916719-793961-560057-667739-884315-964403-126757-745376-888195-613093-748918-869399-759054-809107-736732-795526-807356-698128-924482-988046-968739
